TIME: 0.000, TIME STEP: 0.001, STEADY TIME: 0.000, FINAL TIME: 0.010, NUMBER OF PARTICLES : 2021, LINEAR SIZE (L) = 126.00, SELF-VELOCITY (V0): 1.00
SET PARAMETERS: PHI = 0.10, Pe = 1.00, TAU = 1.0, SAMPLE = 0
X           Y        X_VIRTUAL     Y_VIRTUAL       VX         VY         THETA
49.367801  47.862184   49.367801   47.862184    -0.966505    0.256647    2.882041 
16.852524  78.597145   16.852524   78.597145    -9.832769    4.638393    1.603681 
61.599407  65.225510   61.599407   65.225510    1.183117    -5.304775    3.811166 
35.079741  53.645043   35.079741   53.645043    0.260907    -0.965364    4.976351 
29.340904  113.656410   29.340904   113.656410    0.820826    0.571179    0.607941 
102.465745  98.549802   102.465745   98.549802    -0.879195    -0.476462    3.638219 
43.210262  117.900200   43.210262   117.900200    -2.754501    -1.804993    4.350468 
91.109870  105.254909   91.109870   105.254909    0.319456    0.947601    1.245641 
41.179318  42.691417   41.179318   42.691417    -0.561557    0.827438    2.167063 
69.857582  1.981389   69.857582   1.981389    -0.978125    -0.208016    3.351139 
62.958829  31.656134   62.958829   31.656134    -0.944381    0.328853    2.806504 
30.662651  76.868744   30.662651   76.868744    21.134227    10.381825    3.224573 
115.251646  71.794255   115.251646   71.794255    5.068273    -18.693982    1.786848 
61.109791  18.033792   61.109791   18.033792    -23.040939    6.588750    1.862702 
16.727609  103.907679   16.727609   103.907679    -0.589262    -0.807942    4.082244 
51.127763  19.920056   51.127763   19.920056    -0.998145    -0.060886    3.202516 
60.720383  90.614936   60.720383   90.614936    -0.208536    -0.978015    4.502311 
105.458175  59.554351   105.458175   59.554351    0.661672    -0.749793    5.435436 
10.568182  20.884475   10.568182   20.884475    0.889573    -0.456792    5.808800 
96.735941  114.745637   96.735941   114.745637    -0.452886    -0.891568    4.242389 
107.945021  44.241890   107.945021   44.241890    -0.839548    3.706320    2.685450 
27.456388  61.482160   27.456388   61.482160    -4.161243    -4.169757    4.181274 
51.731721  48.531097   51.731721   48.531097    0.286650    0.958035    1.280068 
49.190880  96.652944   49.190880   96.652944    21.074891    -6.063076    5.502513 
47.281037  114.135888   47.281037   114.135888    4.786439    12.192159    3.498440 
35.701624  108.335090   35.701624   108.335090    0.572714    -0.819756    5.322201 
95.987986  20.344667   95.987986   20.344667    0.978042    -0.208410    6.073236 
65.422950  39.242038   65.422950   39.242038    0.437687    0.899127    1.117772 
90.414159  73.170099   90.414159   73.170099    3.407598    -5.721043    6.182638 
52.487869  25.960438   52.487869   25.960438    -0.880156    0.474685    2.646987 
111.184593  0.787450   111.184593   0.787450    0.966324    -0.257329    6.022928 
36.983201  109.632035   36.983201   109.632035    3.231546    -5.354062    0.481238 
80.949051  53.018485   80.949051   53.018485    0.988813    -0.149158    6.133469 
39.636265  125.365895   39.636265   125.365895    0.674840    -0.737964    5.453137 
34.665268  104.800931   34.665268   104.800931    0.880121    0.474749    0.494678 
96.006490  48.353314   96.006490   48.353314    0.983809    0.179220    0.180193 
6.320207  41.659327   6.320207   41.659327    0.196811    0.980441    1.372692 
94.157647  75.256916   94.157647   75.256916    0.986870    -0.161517    6.120958 
77.133579  72.058248   77.133579   72.058248    -0.727232    -0.686391    3.898108 
77.487366  50.147362   77.487366   50.147362    0.360532    4.263963    2.135596 
2.622358  48.757551   2.622358   48.757551    -0.101937    -0.994791    4.610274 
75.378829  118.429621   75.378829   118.429621    -0.760889    -0.648882    3.847707 
103.388890  103.464951   103.388890   103.464951    0.265957    -0.963985    4.981585 
38.962329  103.349222   38.962329   103.349222    -0.738914    -0.673800    3.880932 
24.312463  73.809999   24.312463   73.809999    6.342882    -11.895136    0.257830 
55.300695  63.435587   55.300695   63.435587    0.383611    0.923495    1.177093 
58.738916  39.460915   58.738916   39.460915    -4.229786    0.891398    3.201306 
